,,,,sim to bat,sim to MM bat,diff
camel/Jeddah/D38_a_/2014,ALA50165,Camel,Human_coronavirus_229E,0.105029586,0.431040757,0.326011171
CA08_1/2008,AFI49431,Camel,Human_coronavirus_229E,0.105574741,0.430976431,0.32540169
camel/Jeddah/O23_a_/2014,ALA50109,Camel,Human_coronavirus_229E,0.105687048,0.430949782,0.325262734
camel/Jeddah/O100/2014,ALA50123,Camel,Human_coronavirus_229E,0.105505341,0.430819612,0.325314271
camel/Jeddah/N62_a_/2014,ALA50144,Camel,Human_coronavirus_229E,0.103613265,0.430577081,0.326963816
camel/Taif/T157_a_/2015,ALA50249,Camel,Human_coronavirus_229E,0.104649253,0.430468395,0.325819142
MY_U945/12,AQN78736,Human,Betacoronavirus_1,0.088283828,0.408756567,0.320472739
gammaCoV/ck/China/I0636/16,AZA07514,Chicken,Avian_coronavirus,0.131604697,0.428171305,0.296566608
UY/09/CA/01,ASM61960,Chicken,Avian_coronavirus,0.132642998,0.427264493,0.294621495
NGA/A116E7/2006,CAZ86708,Chicken,Avian_coronavirus,0.133683692,0.426969341,0.293285649
gammaCoV/ck/China/I0347/11,AZA07860,Chicken,Avian_coronavirus,0.132038196,0.426771796,0.294733601
CK/CH/GD/HY16,QDM02502,Chicken,Avian_coronavirus,0.128259109,0.426572795,0.298313686
CK/CH/SD09/005,AHB78800,Chicken,Avian_coronavirus,0.12938136,0.426381751,0.297000391
ck/CH/IBTZ/2012,AHB73989,Chicken,Avian_coronavirus,0.127666504,0.426229508,0.298563004
ck/CH/LGS/131148,APZ73778,Chicken,Avian_coronavirus,0.131444573,0.426162633,0.29471806
I1209/16,QDA76246,Chicken,Avian_coronavirus,0.128839315,0.42594263,0.297103316
I0916/16,QDA76237,Chicken,Avian_coronavirus,0.127590674,0.425812274,0.298221601
CK/CH/LJS/07V,AQY55803,Chicken,Avian_coronavirus,0.132202832,0.425774878,0.293572046
CK_CH_GX_YL17,QDO71787,Chicken,Avian_coronavirus,0.127246236,0.425773847,0.298527611
I0725/17,QDA76228,Chicken,Avian_coronavirus,0.128151261,0.425595238,0.297443978
CK/CH/2014/QL1403,ANO81454,Chicken,Avian_coronavirus,0.126232423,0.425272842,0.299040419
ck/CH/LHLJ/140927,APZ73816,Chicken,Avian_coronavirus,0.133420536,0.425271739,0.291851203
YX10,AFX59327,Chicken,Avian_coronavirus,0.131215015,0.425231104,0.294016089
CK/CH/SD/121220,AHN49809,Chicken,Avian_coronavirus,0.130592105,0.425,0.294407895
gammaCoV/AvCov/Ck/Italy/624I/96,AXR85432,Chicken,Avian_coronavirus,0.133659332,0.424875622,0.29121629
CK/CH/GD/GZ14,AMR60480,Chicken,Avian_coronavirus,0.128019721,0.424807605,0.296787885
YX10_D90_vaccine,AWR92745,Chicken,Avian_coronavirus,0.129976966,0.424805218,0.294828252
I0221/17,QDA76219,Chicken,Avian_coronavirus,0.126653759,0.424671112,0.298017353
GX_NN09032,AGC01542,Chicken,Avian_coronavirus,0.125626516,0.424627876,0.29900136
SNU_10043,ARS22450,Chicken,Avian_coronavirus,0.133126429,0.424588086,0.291461657
ck/CH/LJS/101237,AQD20701,Chicken,Avian_coronavirus,0.131884295,0.424250657,0.292366362
ck/CH/LHLJ/090605,APY26710,Chicken,Avian_coronavirus,0.129808479,0.424181999,0.29437352
ck/CH/LSD/111037,APY26754,Chicken,Avian_coronavirus,0.131024342,0.424173834,0.293149492
gammaCoV/ck/China/I0718/17,AZA07833,Chicken,Avian_coronavirus,0.133528741,0.42413014,0.290601399
ck/CH/LSD/120437,APV46184,Chicken,Avian_coronavirus,0.13003603,0.424116047,0.294080017
ck/CH/LHB/130630,AJP16730,Chicken,Avian_coronavirus,0.134871628,0.424111171,0.289239543
CK/CH/LJL/05I,APY23533,Chicken,Avian_coronavirus,0.132134096,0.424042033,0.291907936
ck/CH/LHLJ/150701,APY26772,Chicken,Avian_coronavirus,0.12776051,0.424028269,0.296267758
M41,QDA76309,Chicken,Avian_coronavirus,0.133542423,0.424025385,0.290482962
ck/CH/LJS/111111,AQD20737,Chicken,Avian_coronavirus,0.129780974,0.424017388,0.294236414
ckCHLDL150434_II,AMK51948,Chicken,Avian_coronavirus,0.134800326,0.423998553,0.289198227
ck/CH/LHB/120497,APY26861,Chicken,Avian_coronavirus,0.129074529,0.423973162,0.294898633
ck/CH/LSD/110410,AJT47959,Chicken,Avian_coronavirus,0.134568503,0.423968956,0.289400453
ck/CH/LHB/110615,QDA76273,Chicken,Avian_coronavirus,0.127002103,0.423968956,0.296966853
ck/CH/LSD/150311,APV46130,Chicken,Avian_coronavirus,0.128314239,0.423962298,0.295648059
ck/CH/LHB/150619,APY23560,Chicken,Avian_coronavirus,0.130186214,0.423954373,0.293768159
I1124/16,QDA76291,Chicken,Avian_coronavirus,0.131630972,0.423926825,0.292295853
ck/CH/LLN/130102,AJT47914,Chicken,Avian_coronavirus,0.134762137,0.423919906,0.289157769
DK/CH/HN/ZZ2004,AEO86768,Duck,Avian_coronavirus,0.133822331,0.423908129,0.290085798
ck/CH/LHB/121010,AJP16721,Chicken,Avian_coronavirus,0.134502924,0.423854204,0.28935128
ck/CH/LHB/110617,QDA76282,Chicken,Avian_coronavirus,0.12649628,0.423840462,0.297344182
ck/CH/LHB/140532,AJT47905,Chicken,Avian_coronavirus,0.135012185,0.42380222,0.288790034
CK/CH/HD/171018,AYC44182,Chicken,Avian_coronavirus,0.130427685,0.423800905,0.29337322
ck/CH/LJL/150430,APZ73715,Chicken,Avian_coronavirus,0.128020901,0.423787111,0.295766209
SNU_8065,ARS22400,Chicken,Avian_coronavirus,0.129617522,0.423745698,0.294128176
ck/CH/LJS/101111,APZ73670,Chicken,Avian_coronavirus,0.131308182,0.423734951,0.292426768
ck/CH/LHN/101211,AQD20674,Chicken,Avian_coronavirus,0.13004411,0.423721141,0.29367703
gammaCoV/ck/China/I0737/17,AZA07856,Chicken,Avian_coronavirus,0.133668995,0.423698222,0.290029228
ck/CH/LJL/140734,AQY55857,Chicken,Avian_coronavirus,0.129396368,0.423665851,0.294269483
ck/CH/LJL/140924,APZ73769,Chicken,Avian_coronavirus,0.129127166,0.423655135,0.294527969
QIA_KR/D79/05,ARS22420,Chicken,Avian_coronavirus,0.129780974,0.423655135,0.293874161
ck/CH/LJS/120848,AQD20755,Chicken,Avian_coronavirus,0.129063878,0.423630602,0.294566724
ck/CH/LSD/101223,ARB66189,Chicken,Avian_coronavirus,0.131166286,0.423592251,0.292425965
ck/CH/LJS/101113,AQD20692,Chicken,Avian_coronavirus,0.129901961,0.423578414,0.293676453
ck/CH/LHLJ/130622,AQY55866,Chicken,Avian_coronavirus,0.129232783,0.423575247,0.294342464
tl/CH/LDT3/03,AMD40263,Chicken,Avian_coronavirus,0.136319218,0.423535792,0.287216574
ck/CH/IBYZ/2011,AHB74007,Chicken,Avian_coronavirus,0.130903742,0.423526216,0.292622473
K2,AYG86360,Chicken,Avian_coronavirus,0.132962175,0.423526216,0.290564041
Ind_TN92_03,AKV63205,Chicken,Avian_coronavirus,0.129767211,0.423519811,0.2937526
ck/CH/LSD/090334,APZ73679,Chicken,Avian_coronavirus,0.13067625,0.42350172,0.29282547
ck/CH/LSX/130132,APY26816,Chicken,Avian_coronavirus,0.130882353,0.423487867,0.292605514
ck/CH/LGX/130530,AKJ66253,Chicken,Avian_coronavirus,0.134201954,0.423445409,0.289243454
ck/CH/SCYB/140913,ANI21149,Chicken,Avian_coronavirus,0.134787563,0.423420981,0.288633418
ck/CH/LJS/111210,AQY55884,Chicken,Avian_coronavirus,0.130264447,0.423348416,0.29308397
ck/CH/LBJ/140528,ARB66144,Chicken,Avian_coronavirus,0.129296236,0.423327896,0.29403166
ck/CH/LSD/100408,APY26798,Chicken,Avian_coronavirus,0.131819667,0.423320659,0.291500992
ck/CH/LJL/121059,AHX26109,Chicken,Avian_coronavirus,0.134993447,0.423278986,0.288285539
ck/CH/LHB/130569,APW85776,Chicken,Avian_coronavirus,0.130477436,0.423278986,0.292801549
ck/CH/LBJ/120481,AQY55839,Chicken,Avian_coronavirus,0.126288238,0.423240648,0.29695241
ck/CH/LBJ/140514,APU51856,Chicken,Avian_coronavirus,0.127718724,0.423226742,0.295508017
ck/CH/LHB/121041,AJT47869,Chicken,Avian_coronavirus,0.133365822,0.423222663,0.289856841
ck/CH/LJS/101109,APV46121,Chicken,Avian_coronavirus,0.130392157,0.423216226,0.292824069
ck/CH/LSD/101115,APZ73760,Chicken,Avian_coronavirus,0.130392157,0.423216226,0.292824069
ck/CH/LHB/111190,APW85767,Chicken,Avian_coronavirus,0.128129602,0.423198913,0.29506931
ck/CH/LLN/131040,APY23614,Chicken,Avian_coronavirus,0.127475045,0.423198913,0.295723868
ck/CH/LLN/130101,AJT47950,Chicken,Avian_coronavirus,0.133138497,0.42319834,0.290059844
ck/CH/LHB/131144,APY23515,Chicken,Avian_coronavirus,0.130477436,0.423188406,0.29271097
CK/CH/LJL/07III,ARB66135,Chicken,Avian_coronavirus,0.12998692,0.423188406,0.293201486
ck/CH/LSD/130205,AQY03968,Chicken,Avian_coronavirus,0.129880738,0.423177909,0.29329717
gammaCoV/ck/China/I0722/17,AZA07842,Chicken,Avian_coronavirus,0.132585001,0.423177671,0.290592671
ck/CH/LHB/120402,APW85794,Chicken,Avian_coronavirus,0.129269488,0.423163995,0.293894507
411F,BBC54852,Quail,Quail_coronavirus_UAE-HKU30,0.101514395,0.423136575,0.32162218
ck/CH/LHLJ/110943,APZ73825,Chicken,Avian_coronavirus,0.128045789,0.423136154,0.295090365
ck/CH/LSD/110851,AJT47878,Chicken,Avian_coronavirus,0.133203379,0.423132443,0.289929064
ck/CH/LHB/130927,AJT47842,Chicken,Avian_coronavirus,0.133203379,0.423132443,0.289929064
ck/CH/LSD/120913,APV46157,Chicken,Avian_coronavirus,0.128905611,0.423122225,0.294216614
ck/CH/LJL/140530,AQY55875,Chicken,Avian_coronavirus,0.128848347,0.423122119,0.294273772
CK/CH/LJL/04I,APZ73706,Chicken,Avian_coronavirus,0.129553994,0.42308737,0.293533375
ck/CH/LSD/130211,APV46166,Chicken,Avian_coronavirus,0.129575163,0.423035132,0.293459969
ck/CH/LLN/120605,APY23605,Chicken,Avian_coronavirus,0.128267974,0.423035132,0.294767158
SNU_11045,ARS22440,Chicken,Avian_coronavirus,0.129069197,0.423031621,0.293962424
ck/CH/LHLJ/130744,APZ73724,Chicken,Avian_coronavirus,0.130434783,0.423021192,0.292586409
CK/CH/LHLJ/140756,AKS25234,Chicken,Avian_coronavirus,0.131201044,0.423000362,0.291799318
ck/CH/LHLJ/08_6,APY23623,Chicken,Avian_coronavirus,0.129717366,0.422996831,0.293279465
CK/CH/LGS/08I,APX44056,Chicken,Avian_coronavirus,0.127558539,0.422982885,0.295424346
ck/CH/LSD/100412,APY26825,Chicken,Avian_coronavirus,0.12992319,0.422982885,0.293059695
SNU8067,AFQ31000,Chicken,Avian_coronavirus,0.12504065,0.422951709,0.297911059
ck/CH/LSD/111218,ARB66198,Chicken,Avian_coronavirus,0.130406398,0.422948149,0.292541752
ck/CH/LAH/120721,APU51865,Chicken,Avian_coronavirus,0.127596925,0.422941017,0.295344092
ck/CH/LLN/090312,APY23551,Chicken,Avian_coronavirus,0.129584352,0.422913464,0.293329112
ck/CH/LJS/131049,APZ73661,Chicken,Avian_coronavirus,0.128779212,0.42289233,0.294113118
ck/CH/LSD/110409,ARB66117,Chicken,Avian_coronavirus,0.128763089,0.422888728,0.294125639
ck/CH/LHLJ/140906,AJP16712,Chicken,Avian_coronavirus,0.130647529,0.422878829,0.2922313
LH1,APX44065,Chicken,Avian_coronavirus,0.130377883,0.422878362,0.292500479
gammaCoV/ck/China/I0724/17,AZA07824,Chicken,Avian_coronavirus,0.132075472,0.422868497,0.290793025
ck/CH/LHLJ/110310,AHX26073,Chicken,Avian_coronavirus,0.134152334,0.422787791,0.288635457
CK/CH/LSD/07I,APY23524,Chicken,Avian_coronavirus,0.128984796,0.422787791,0.293802994
ck/CH/LLN/090910,APY23587,Chicken,Avian_coronavirus,0.128583129,0.422759808,0.294176679
SDIB821/2012,AGZ20168,Chicken,Avian_coronavirus,0.12918504,0.422739205,0.293554165
CK/CH/LGS/06I,APV46102,Chicken,Avian_coronavirus,0.128557409,0.422721508,0.294164098
ck/CH/LSD/110857,AJT47887,Chicken,Avian_coronavirus,0.132412673,0.42271948,0.290306808
CK/CH/LJL/130908,ALC78747,Chicken,Avian_coronavirus,0.132962175,0.42271122,0.289749045
CK/CH/2010/JT_1,ANO81443,Chicken,Avian_coronavirus,0.13015149,0.422698112,0.292546621
ck/CH/LHLJ/130822,APZ73742,Chicken,Avian_coronavirus,0.12849436,0.422697219,0.294202859
ck/CH/LAH/120907,APU51847,Chicken,Avian_coronavirus,0.127281617,0.422694394,0.295412778
ck/CH/LHLJ/090806,APZ73733,Chicken,Avian_coronavirus,0.130008177,0.422683214,0.292675037
LD3,APX44038,Chicken,Avian_coronavirus,0.131729668,0.422683214,0.290953546
1101F,BBC54861,Quail,Quail_coronavirus_UAE-HKU30,0.101514395,0.422680412,0.321166017
ck/CH/LJL/090330,AQD20683,Chicken,Avian_coronavirus,0.128800262,0.422658939,0.293858677
ck/CH/LHLJ/121219,AQY03959,Chicken,Avian_coronavirus,0.129944426,0.422658939,0.292714512
ck/CH/LBJ/140402,AJT47860,Chicken,Avian_coronavirus,0.13248904,0.422657166,0.290168126
ck/CH/LDL/130325,APY26807,Chicken,Avian_coronavirus,0.129000653,0.422610427,0.293609774
ck/CH/LHB/110123,AQY55848,Chicken,Avian_coronavirus,0.129190515,0.422592626,0.293402111
H120,QDA76318,Chicken,Avian_coronavirus,0.133922724,0.422582398,0.288659673
ck/CH/LDL/091022,AFQ94213,Chicken,Avian_coronavirus,0.127106167,0.422578599,0.295472432
4/91_vaccine,AGY56140,Chicken,Avian_coronavirus,0.132326676,0.42256697,0.290240294
ck/CH/LHB/130575,AJT47923,Chicken,Avian_coronavirus,0.130498534,0.422555576,0.292057042
ck/CH/LHB/090921,APY26879,Chicken,Avian_coronavirus,0.12849436,0.422544138,0.294049778
CK/CH/LHLJ/07I,APV46094,Chicken,Avian_coronavirus,0.128979592,0.422544138,0.293564546
ck/CH/LDL/140709,APY26870,Chicken,Avian_coronavirus,0.128322191,0.422537759,0.294215567
ck/CH/LHB/120749,AHX25965,Chicken,Avian_coronavirus,0.131583265,0.422536488,0.290953223
ck/CH/LHuB/131123,APZ73751,Chicken,Avian_coronavirus,0.126963351,0.422526278,0.295562927
ck/CH/LJL/08_1,APY26781,Chicken,Avian_coronavirus,0.128389415,0.422505884,0.294116469
H120,ACQ55230,Chicken,Avian_coronavirus,0.133639044,0.422477812,0.288838768
KM91,AFQ31010,Chicken,Avian_coronavirus,0.130022868,0.422471504,0.292448635
ck/CH/LSD/111025,APY26763,Chicken,Avian_coronavirus,0.128368447,0.422467638,0.294099191
ck/CH/LDL/150434_I,AMK51938,Chicken,Avian_coronavirus,0.13319135,0.422463768,0.289272418
ck/CH/LSD08_7,APZ73652,Chicken,Avian_coronavirus,0.129817113,0.422429399,0.292612286
ck/CH/LHLJ/141103,APZ73807,Chicken,Avian_coronavirus,0.130200685,0.422419253,0.292218567
3575/08,AOC59723,Chicken,Avian_coronavirus,0.131527415,0.422366992,0.290839577
ck/CH/LBJ/140413,AJT47851,Chicken,Avian_coronavirus,0.132455713,0.422344554,0.289888841
ck/CH/LHB/130589,APY23497,Chicken,Avian_coronavirus,0.128167402,0.422334933,0.294167531
SNU_9106,ARS22430,Chicken,Avian_coronavirus,0.128611066,0.422314723,0.293703657
ck/CH/LJL/110302,AGE13891,Chicken,Avian_coronavirus,0.128267974,0.422310757,0.294042783
ck/CH/LHB/140542,APY23488,Chicken,Avian_coronavirus,0.128384992,0.422290574,0.293905582
ck/CH/LSD/110505,AHX26118,Chicken,Avian_coronavirus,0.133202422,0.422286594,0.289084172
ck/CH/LJL/101150,ARB66108,Chicken,Avian_coronavirus,0.128557409,0.422268527,0.293711118
IBS130/2015,QAA92387,Chicken,Avian_coronavirus,0.128142344,0.422262443,0.294120099
ck/CH/LHB/130642,AHX26010,Chicken,Avian_coronavirus,0.132962175,0.422258444,0.28929627
ck/CH/LHLJ/111050,AHX26082,Chicken,Avian_coronavirus,0.133125921,0.422258444,0.289132523
ck/CH/LXJ/111265,APV46139,Chicken,Avian_coronavirus,0.127649169,0.422228251,0.294579082
ck/CH/LHB/111268,AHX25947,Chicken,Avian_coronavirus,0.133267845,0.42222021,0.288952365
ck/CH/LHB/121024,AHX25974,Chicken,Avian_coronavirus,0.133431565,0.42222021,0.288788645
ck/CH/LJS/131102,APZ73697,Chicken,Avian_coronavirus,0.12875817,0.42222021,0.29346204
ck/CH/LDL/101212,AEP84746,Chicken,Avian_coronavirus,0.133147724,0.422206122,0.289058399
UY/11/CA/18,ASM61973,Chicken,Avian_coronavirus,0.130886652,0.422194108,0.291307457
ck/CH/LSD/130611,APV46175,Chicken,Avian_coronavirus,0.127534336,0.422192029,0.294657693
ck/CH/LHB/121040,AHX25983,Chicken,Avian_coronavirus,0.13289689,0.422143762,0.289246872
ck/CH/LSD/091003,APY26843,Chicken,Avian_coronavirus,0.128045789,0.422139687,0.294093898
ck/CH/LHN/120338,AQD20719,Chicken,Avian_coronavirus,0.128921569,0.422129663,0.293208095
ck/CH/LNM/091017,ADY62552,Chicken,Avian_coronavirus,0.13298395,0.422115559,0.289131609
ck/CH/LHB/130628,APY23506,Chicken,Avian_coronavirus,0.130164952,0.422105549,0.291940597
SCZY3,ADD62481,Chicken,Avian_coronavirus,0.127756902,0.422091444,0.294334542
LX4,AAQ21585,Chicken,Avian_coronavirus,0.126882777,0.422073215,0.295190438
ck/CH/LJL/131006,ARB66171,Chicken,Avian_coronavirus,0.129000653,0.422067343,0.293066689
ck/CH/LSD/100305,APY26789,Chicken,Avian_coronavirus,0.127350008,0.422063219,0.294713211
ck/CH/LSD08_8,APZ73843,Chicken,Avian_coronavirus,0.128536386,0.422049099,0.293512713
ck/CH/LJS/120552,AQD20746,Chicken,Avian_coronavirus,0.129169392,0.42201087,0.292841478
ck/CH/LHB/111232,AHX25938,Chicken,Avian_coronavirus,0.132918645,0.422000905,0.289082261
ck/CH/LHB/131143,AHX26046,Chicken,Avian_coronavirus,0.132962175,0.421986779,0.289024604
BP_CaKII,AYG86347,Chicken,Avian_coronavirus,0.130413466,0.421981004,0.291567538
CK/CH/LLN/98I,APY26728,Chicken,Avian_coronavirus,0.129931529,0.421956954,0.292025425
ck/CH/LGX/111119,AQY55893,Chicken,Avian_coronavirus,0.12683404,0.421956954,0.295122914
CK/CH/LLN/06I,APY23542,Chicken,Avian_coronavirus,0.127043819,0.42192029,0.29487647
ck/CH/LSD/110739,ARB66126,Chicken,Avian_coronavirus,0.129317401,0.42191607,0.292598669
gammaCoV/ck/China/I1101/16,AQY61369,Chicken,Avian_coronavirus,0.133138021,0.421908894,0.288770873
CK/CH/LXJ/02I,APV46148,Chicken,Avian_coronavirus,0.124632473,0.421872171,0.297239698
CK/CH/LHLJ/99I,AQY55830,Chicken,Avian_coronavirus,0.128531765,0.421862275,0.293330509
ck/CH/LHB/120403,AHX25956,Chicken,Avian_coronavirus,0.133104126,0.421858022,0.288753897
ck/CH/LHB/130337,APW85785,Chicken,Avian_coronavirus,0.125633895,0.421853765,0.29621987
P100,AKN20490,Chicken,Avian_coronavirus,0.126693878,0.421848131,0.295154254
ck/CH/LJL/100512,APZ73787,Chicken,Avian_coronavirus,0.128695084,0.421833982,0.293138898
ck/CH/LSD/110529,AHX26127,Chicken,Avian_coronavirus,0.132514333,0.421791504,0.289277172
CK/CH/LLN/07I,APY23569,Chicken,Avian_coronavirus,0.129206142,0.42178164,0.292575499
ck/CH/LHB/110526,AHX25911,Chicken,Avian_coronavirus,0.132449247,0.421767476,0.289318229
ck/CH/LHLJ/110836,AQY55821,Chicken,Avian_coronavirus,0.127046496,0.421767476,0.294720979
Ma5,ARJ35791,Chicken,Avian_coronavirus,0.132328857,0.421753306,0.289424449
ck/CH/LSD/091203,APY26834,Chicken,Avian_coronavirus,0.126245305,0.42174346,0.295498155
ck/CH/LHLJ/110673,AQY55812,Chicken,Avian_coronavirus,0.12804181,0.42174346,0.29370165
ck/CH/LHB/130578,AJT47932,Chicken,Avian_coronavirus,0.128911343,0.421728127,0.292816784
ck/CH/LSD/120742,APY26852,Chicken,Avian_coronavirus,0.128272251,0.421710765,0.293438513
ck/CH/LSD/110912,APY26736,Chicken,Avian_coronavirus,0.128104575,0.421676929,0.293572353
ck/CH/LHLJ/090908,AHX26055,Chicken,Avian_coronavirus,0.132656404,0.421662742,0.289006339
CK/CH/LHLJ/141105,AKS25243,Chicken,Avian_coronavirus,0.126571942,0.421652937,0.295080996
ck/CH/LDL/120557,AHX25902,Chicken,Avian_coronavirus,0.132263873,0.421638751,0.289374878
ck/CH/LSD/100311,APY23596,Chicken,Avian_coronavirus,0.128200946,0.421619177,0.293418231
TW2575/98,ABG36787,Chicken,Avian_coronavirus,0.128627323,0.421595225,0.292967902
ck/CH/LSD/090314,AQD20728,Chicken,Avian_coronavirus,0.127631794,0.421590806,0.293959013
CK/CH/LDL/97I,AFQ94240,Chicken,Avian_coronavirus,0.124694775,0.421585465,0.296890691
ck/CH/LHB/111168,APV46112,Chicken,Avian_coronavirus,0.12903752,0.421566854,0.292529333
ck/CH/LZJ/111113,AFQ94222,Chicken,Avian_coronavirus,0.128806383,0.421537628,0.292731244
ck/CH/LHB/110825,AHX25920,Chicken,Avian_coronavirus,0.131979695,0.421534003,0.289554308
ck/CH/LSD/09091,APZ73688,Chicken,Avian_coronavirus,0.12822607,0.421510049,0.293283979
QIA_03342,ARS22410,Chicken,Avian_coronavirus,0.126592617,0.421510049,0.294917432
1148_A,ATE90967,Chicken,Avian_coronavirus,0.126592617,0.421510049,0.294917432
BF_017I,ABN10919,Bat,Rousettus_bat_coronavirus_HKU9,0.138269402,0.421498662,0.28322926
ck/CH/LHLJ/090515,APY26726,Chicken,Avian_coronavirus,0.127329193,0.421481616,0.294152423
ck/CH/LSD/111241,AHX26154,Chicken,Avian_coronavirus,0.131609101,0.421457673,0.289848572
ck/CH/LHLJ/130705,APZ73834,Chicken,Avian_coronavirus,0.127531025,0.421433744,0.293902718
ck/CH/LHN/090909,AHX26100,Chicken,Avian_coronavirus,0.132350532,0.421429218,0.289078686
ck/CH/LHB/131132,AHX26028,Chicken,Avian_coronavirus,0.131794368,0.421405288,0.28961092
IS_1494,AXT92415,Chicken,Avian_coronavirus,0.122415491,0.421385924,0.298970433
L1148,ATE90980,Chicken,Avian_coronavirus,0.12459177,0.42134323,0.296751459
23/2013,ANY59000,Chicken,Avian_coronavirus,0.127597403,0.421214312,0.293616909
CK/CH/LSD/03I,APY26745,Chicken,Avian_coronavirus,0.124938756,0.421200326,0.29626157
ck/CH/LJL/130906,QDA76327,Chicken,Avian_coronavirus,0.130356559,0.421176471,0.290819912
ck/CH/LHLJ/091205,AHX26064,Chicken,Avian_coronavirus,0.131246928,0.421143219,0.289896292
CK/CH/LDL/140520,AKS25225,Chicken,Avian_coronavirus,0.125917469,0.421076436,0.295158967
ck/CH/LHLJ/111043,ALC78738,Chicken,Avian_coronavirus,0.12752443,0.421066908,0.293542478
gammaCoV/ck/China/I0108/17,AVI69453,Chicken,Avian_coronavirus,0.124467038,0.421057396,0.296590358
VFAR_047,AYS76105,Chicken,Avian_coronavirus,0.125427038,0.420981296,0.295554258
ck/CH/LDL/110931,AHX25893,Chicken,Avian_coronavirus,0.13207856,0.420966866,0.288888306
ck/CH/LJL/08_9,ARB66162,Chicken,Avian_coronavirus,0.127150582,0.420966718,0.293816136
CK/CH/LHLJ/140901,AKS25252,Chicken,Avian_coronavirus,0.12567325,0.420957379,0.29528413
BR_I,ARJ35789,Chicken,Avian_coronavirus,0.125871857,0.420933803,0.295061946
ck/CH/LHB/130598,AHX26001,Chicken,Avian_coronavirus,0.130463251,0.420914441,0.29045119
